basename,mags_and_gtdb,gtdb,mag_only
SRR28282594,0.848948626,0.822635082,0.447588487
SRR28282613,0.783484329,0.754416158,0.30474048
SRR28282619,0.781425399,0.758548968,0.360639391
SRR28282624,0.797701011,0.768967155,0.371825928
SRR28282645,0.843101594,0.814517011,0.406292164
SRR28282659,0.728624926,0.706400476,0.286838752
SRR28282680,0.796077341,0.771012082,0.35682817
SRR28282694,0.829253277,0.788201331,0.413368982
SRR28282698,0.786435918,0.768319766,0.320422896
SRR28282707,0.796504458,0.781327202,0.241194772
SRR28282753,0.812147683,0.793233591,0.321013514
SRR28282757,0.822684163,0.792192769,0.415636071
SRR28282758,0.812555823,0.77745009,0.357585377
SRR28282763,0.733758851,0.710408239,0.262992852
SRR28282778,0.7622414,0.735597565,0.304495097
SRR28282830,0.779657161,0.752150169,0.295271714
SRR28282853,0.791257374,0.769112672,0.329196782
SRR28282890,0.764567818,0.742869237,0.307507262
SRR28282902,0.790212107,0.772627313,0.290209191
SRR28282906,0.788731484,0.768755028,0.392882796
SRR28282907,0.763251298,0.739462028,0.335258154
SRR28282913,0.754721729,0.725712783,0.342975651
SRR28282918,0.793027377,0.76815122,0.310992427
SRR28282921,0.75303224,0.722799766,0.285656825
SRR28282924,0.767931912,0.750707212,0.245320597
SRR28282929,0.806133701,0.789990295,0.238568063
SRR28282933,0.812489775,0.791055459,0.337666321
SRR28282952,0.837739396,0.811393779,0.375415463
SRR28282962,0.765260192,0.735821919,0.313159116
SRR28282966,0.80123975,0.783610969,0.390968795
SRR28282977,0.805135478,0.787188916,0.349405755
SRR28282982,0.759224622,0.741747632,0.244002754
SRR28282989,0.768731662,0.740585417,0.320286713
SRR28282990,0.857102163,0.843020401,0.320346028
SRR28282997,0.780267459,0.753404406,0.354885895
SRR28283013,0.759418947,0.735123523,0.268623196
SRR28283015,0.822864057,0.79213079,0.429485924
SRR28283022,0.780885624,0.757815727,0.299479746
SRR28283048,0.809970163,0.755025424,0.413544841
SRR28283050,0.770065623,0.756082389,0.23818997
SRR28283891,0.790178969,0.734527746,0.382041902
SRR28283906,0.759440852,0.740244174,0.317166072
SRR28283909,0.777296631,0.752730737,0.258704079
SRR28283912,0.78892234,0.766997362,0.347571019
SRR28283924,0.788836349,0.767079315,0.263174207
SRR28283939,0.800206266,0.771241145,0.262271966
SRR28283953,0.803135012,0.784113651,0.275089112
SRR28284006,0.746322044,0.721135991,0.306517605
SRR28284013,0.783715115,0.766431526,0.240602618
SRR28284016,0.810797619,0.796612476,0.207763908
SRR28284024,0.776381068,0.753410868,0.286552286
SRR28284039,0.793626717,0.769769678,0.340349358
SRR28284046,0.785354397,0.704607996,0.434849194
SRR28284061,0.802189785,0.767247101,0.310340188
SRR28284104,0.761765901,0.727379026,0.320233571
SRR28284126,0.795814154,0.767967056,0.341884216
SRR28284135,0.780326177,0.764623514,0.240949187
SRR28284183,0.798744965,0.784532189,0.295305338
SRR28284192,0.766932558,0.740919335,0.295711975
SRR28284207,0.846168952,0.807741097,0.534884141
SRR28284211,0.782035009,0.737425568,0.394888382
SRR28284239,0.773695028,0.751573258,0.328140704
SRR28284251,0.764648784,0.736483662,0.28763701
SRR28284254,0.822720646,0.798889468,0.362133148
SRR28284262,0.766191159,0.741968091,0.308034599
SRR28284264,0.771869097,0.738568992,0.247581147
SRR28284277,0.80862973,0.774351111,0.43108747
SRR28284285,0.803335226,0.782768857,0.380822448
SRR28284298,0.804626276,0.777815919,0.323826999
SRR28284311,0.816943563,0.788282732,0.486370687
