metag_count,acc,organism
14,ERR3393518,pig gut metagenome
14,ERR3393519,pig gut metagenome
14,ERR3393520,pig gut metagenome
14,ERR3393521,pig gut metagenome
13,ERR3393522,pig gut metagenome
14,ERR3393523,pig gut metagenome
14,ERR3393524,pig gut metagenome
14,ERR3393525,pig gut metagenome
14,ERR3393526,pig gut metagenome
13,ERR3393527,pig gut metagenome
14,ERR3393528,pig gut metagenome
14,ERR3393529,pig gut metagenome
14,ERR3393530,pig gut metagenome
14,ERR3393531,pig gut metagenome
14,ERR3393532,pig gut metagenome
14,ERR3393533,pig gut metagenome
14,ERR3393534,pig gut metagenome
14,ERR3393535,pig gut metagenome
14,ERR3393536,pig gut metagenome
14,ERR3393537,pig gut metagenome
14,ERR3393538,pig gut metagenome
14,ERR3393539,pig gut metagenome
13,ERR3393543,pig gut metagenome
14,ERR3393544,pig gut metagenome
14,ERR3393545,pig gut metagenome
14,ERR3648472,pig gut metagenome
14,ERR3648605,pig gut metagenome
12,ERR3648606,pig gut metagenome
13,ERR3649965,pig gut metagenome
13,SRR15725436,pig gut metagenome
14,SRR18183267,pig gut metagenome
14,SRR18183268,pig gut metagenome
14,SRR18183269,pig gut metagenome
14,SRR18183270,pig gut metagenome
13,SRR18183271,pig gut metagenome
14,SRR18183272,pig gut metagenome
14,SRR18573358,pig gut metagenome
14,SRR18573359,pig gut metagenome
14,SRR18573360,pig gut metagenome
13,SRR19581616,pig gut metagenome
12,SRR19581617,pig gut metagenome
12,SRR19581620,pig gut metagenome
14,SRR19581621,pig gut metagenome
13,SRR19581632,pig gut metagenome
14,SRR19581646,pig gut metagenome
13,SRR19581647,pig gut metagenome
12,SRR19581649,pig gut metagenome
14,SRR19581650,pig gut metagenome
14,SRR19581651,pig gut metagenome
12,SRR19581652,pig gut metagenome
13,SRR19581654,pig gut metagenome
14,SRR19581655,pig gut metagenome
13,SRR19633747,pig gut metagenome
12,SRR19668095,pig gut metagenome
13,SRR19668107,pig gut metagenome
13,SRR19668108,pig gut metagenome
13,SRR19668109,pig gut metagenome
12,SRR19668110,pig gut metagenome
14,SRR19668111,pig gut metagenome
12,SRR19668116,pig gut metagenome
12,SRR19668122,pig gut metagenome
12,SRR19668124,pig gut metagenome
12,SRR22185085,pig gut metagenome
12,SRR22185086,pig gut metagenome
14,SRR23814683,pig gut metagenome
14,SRR23814685,pig gut metagenome
14,SRR23814688,pig gut metagenome
13,SRR23814689,pig gut metagenome
14,SRR23814690,pig gut metagenome
14,SRR23814691,pig gut metagenome
12,SRR23814692,pig gut metagenome
13,SRR23814694,pig gut metagenome
13,SRR23814698,pig gut metagenome
12,SRR28751625,pig gut metagenome
12,SRR28751626,pig gut metagenome
13,SRR28751627,pig gut metagenome
13,SRR28751628,pig gut metagenome
14,SRR28751629,pig gut metagenome
14,SRR28751630,pig gut metagenome
14,SRR28751631,pig gut metagenome
14,SRR28751632,pig gut metagenome
14,SRR28751633,pig gut metagenome
14,SRR28751634,pig gut metagenome
14,SRR28751635,pig gut metagenome
12,SRR28751636,pig gut metagenome
14,SRR28751637,pig gut metagenome
14,SRR28751638,pig gut metagenome
12,SRR28751639,pig gut metagenome
14,SRR28751640,pig gut metagenome
14,SRR28751641,pig gut metagenome
13,SRR28751642,pig gut metagenome
12,SRR28751644,pig gut metagenome
14,SRR28751645,pig gut metagenome
14,SRR28751646,pig gut metagenome
14,SRR28751647,pig gut metagenome
14,SRR28751648,pig gut metagenome
12,SRR9218141,pig gut metagenome
12,SRR9218149,pig gut metagenome
12,SRR9218152,pig gut metagenome
14,SRR9218156,pig gut metagenome
12,SRR9218158,pig gut metagenome
12,SRR9218161,pig gut metagenome
12,SRR9218167,pig gut metagenome
13,SRR9218168,pig gut metagenome
12,SRR9218169,pig gut metagenome
13,SRR9218170,pig gut metagenome
13,SRR9218171,pig gut metagenome
12,SRR9218172,pig gut metagenome
12,SRR9218176,pig gut metagenome
13,SRR9218177,pig gut metagenome
13,SRR9218180,pig gut metagenome
13,SRR9218185,pig gut metagenome
12,SRR9218186,pig gut metagenome
12,SRR9218187,pig gut metagenome
12,SRR9218190,pig gut metagenome
13,SRR9218191,pig gut metagenome
12,SRR9218193,pig gut metagenome
13,SRR9218194,pig gut metagenome
13,SRR9218195,pig gut metagenome
12,SRR9218196,pig gut metagenome
13,SRR9218197,pig gut metagenome
13,SRR9218200,pig gut metagenome
13,SRR9218201,pig gut metagenome
12,SRR9218203,pig gut metagenome
14,SRR9218206,pig gut metagenome
13,SRR9218207,pig gut metagenome
13,SRR9218208,pig gut metagenome
13,ERR3588731,pig gut metagenome
14,ERR3588735,pig gut metagenome
14,ERR3588736,pig gut metagenome
14,ERR3588737,pig gut metagenome
12,ERR3588738,pig gut metagenome
12,ERR3588739,pig gut metagenome
12,ERR3588741,pig gut metagenome
14,ERR3588742,pig gut metagenome
13,ERR3588743,pig gut metagenome
14,ERR3588744,pig gut metagenome
13,ERR3588745,pig gut metagenome
13,ERR3588749,pig gut metagenome
13,ERR3588750,pig gut metagenome
13,ERR3588751,pig gut metagenome
14,ERR3588752,pig gut metagenome
14,ERR3588753,pig gut metagenome
13,ERR3588754,pig gut metagenome
14,ERR3588755,pig gut metagenome
13,ERR4686054,pig gut metagenome
12,SRR11124724,pig gut metagenome
12,SRR11125830,pig gut metagenome
13,SRR11183609,pig gut metagenome
12,SRR25445138,pig gut metagenome
12,SRR25445139,pig gut metagenome
14,SRR25445140,pig gut metagenome
14,SRR25445141,pig gut metagenome
14,SRR25445143,pig gut metagenome
12,SRR25445144,pig gut metagenome
12,SRR25445145,pig gut metagenome
13,SRR8830792,pig gut metagenome
13,SRR8830793,pig gut metagenome
13,SRR8830794,pig gut metagenome
13,SRR8830795,pig gut metagenome
13,SRR8830796,pig gut metagenome
13,SRR8830797,pig gut metagenome
13,SRR8830800,pig gut metagenome
13,SRR8830801,pig gut metagenome
13,SRR8960185,pig gut metagenome
13,SRR8960271,pig gut metagenome
12,SRR8960274,pig gut metagenome
14,SRR8960275,pig gut metagenome
14,SRR8960356,pig gut metagenome
14,SRR8960375,pig gut metagenome
12,SRR8960536,pig gut metagenome
14,SRR8960820,pig gut metagenome
13,SRR8960845,pig gut metagenome
12,SRR8960847,pig gut metagenome
14,SRR14369279,pig gut metagenome
14,SRR20632228,pig gut metagenome
14,SRR14369192,pig gut metagenome
14,SRR26820287,pig gut metagenome
14,SRR25936262,pig gut metagenome
14,SRR8960760,pig gut metagenome
14,SRR23223856,pig gut metagenome
14,SRR8960233,pig gut metagenome
14,SRR11126344,pig gut metagenome
14,SRR11723725,pig gut metagenome
14,SRR8960511,pig gut metagenome
14,SRR11184019,pig gut metagenome
14,SRR11184100,pig gut metagenome
14,SRR11184055,pig gut metagenome
14,SRR11723729,pig gut metagenome
14,SRR8960180,pig gut metagenome
14,SRR11183984,pig gut metagenome
14,SRR17241485,pig gut metagenome
14,SRR11805640,pig gut metagenome
14,SRR17241494,pig gut metagenome
14,SRR11183998,pig gut metagenome
14,SRR8960924,pig gut metagenome
14,SRR17241535,pig gut metagenome
14,ERR1135341,pig gut metagenome
