basename,mags_and_gtdb,gtdb,mag_only,gtdb_reps,mags_and_gtdbreps
SRR8960598,0.772178295,0.698019791,0.312364055,0.617500159,0.784527137
SRR8960599,0.80592511,0.757962209,0.42909792,0.64994943,0.794379057
SRR8960600,0.808268932,0.736200258,0.397230289,0.605539029,0.768022462
SRR8960601,0.824536477,0.761566479,0.389112858,0.616707157,0.797942277
SRR8960602,0.80056869,0.738540829,0.404741959,0.635377276,0.783655978
SRR8960603,0.829722087,0.78320551,0.442122044,0.617345268,0.79680343
SRR8960604,0.741263462,0.674736109,0.499654888,0.559411009,0.720552867
SRR8960605,0.770085854,0.718543063,0.337240155,0.625808349,0.770288135
SRR8960607,0.73171486,0.695869516,0.317734046,0.604633385,0.709245711
SRR8960608,0.816115563,0.725079076,0.213662892,0.608275926,0.815931028
SRR8960609,0.851510434,0.788889083,0.438274377,0.661715399,0.820969778
SRR8960610,0.795589105,0.715463295,0.397437183,0.603511014,0.777202807
SRR8960611,0.869231311,0.811034833,0.45014906,0.657265895,0.861689054
SRR8960612,0.859746642,0.796527984,0.409241613,0.657032345,0.837537534
SRR8960613,0.871693392,0.831631173,0.506881614,0.653554081,0.816245639
SRR8960616,0.900472371,0.840909235,0.399390415,0.698689592,0.867285994
SRR8960617,0.801825118,0.730850573,0.452520332,0.566515735,0.769184782
SRR8960618,0.873521779,0.829172845,0.427055943,0.666335703,0.826121086
SRR8960621,0.799349024,0.710570004,0.472878246,0.591087032,0.779626568
SRR8960622,0.782587124,0.713091411,0.367015407,0.59915568,0.78518629
SRR8960623,0.833082195,0.777108075,0.340044053,0.639062359,0.807993088
SRR8960624,0.836238823,0.781323997,0.467422037,0.636838208,0.812024252
SRR8960625,0.790949911,0.69086382,0.482205289,0.56797419,0.753736167
SRR8960626,0.786472012,0.697078498,0.441485337,0.596394396,0.77808114
SRR8960627,0.823563389,0.765278574,0.437593066,0.605556352,0.81089463
SRR8960628,0.774435414,0.699024553,0.468332428,0.568415913,0.747200523
SRR8960629,0.796756005,0.731117166,0.465382655,0.602581222,0.773874439
SRR8960630,0.795277777,0.712861464,0.415051232,0.614029068,0.783411153
SRR8960631,0.788750884,0.6578174,0.351499243,0.534420163,0.778029531
SRR8960632,0.81182058,0.72223285,0.513032534,0.575047012,0.775330596
SRR8960633,0.698166619,0.614765668,0.381131587,0.531674252,0.689072024
SRR8960634,0.761041912,0.67517092,0.416451747,0.590548189,0.757229379
SRR8960635,0.785684536,0.685385418,0.504082496,0.577114478,0.753153845
SRR8960636,0.76099947,0.68490966,0.414220945,0.51218054,0.685267212
SRR8960637,0.791970993,0.728158776,0.392240971,0.606321945,0.798872087
SRR8960638,0.778246995,0.696217431,0.381833001,0.610312552,0.770537926
SRR8960639,0.782749843,0.699154089,0.428908091,0.583346515,0.767982979
SRR8960640,0.835154589,0.775105981,0.472214258,0.61918345,0.800365814
SRR8960641,0.812688596,0.752800809,0.451525246,0.625831449,0.780428647
SRR8960642,0.761307353,0.69419816,0.404452487,0.593153108,0.748500942
SRR8960643,0.774488555,0.69377758,0.425324724,0.606588209,0.772330627
SRR8960644,0.826462358,0.767830463,0.466583698,0.636348484,0.804160448
SRR8960647,0.793293095,0.734984162,0.476676515,0.625414864,0.777918451
SRR8960648,0.807301415,0.75982863,0.443781786,0.624393714,0.777717782
SRR8960649,0.783053225,0.716702659,0.263097715,0.621029589,0.782349295
SRR8960650,0.844721371,0.781422514,0.468032817,0.65077614,0.814710608
SRR8960651,0.878286056,0.835011598,0.460508989,0.682096312,0.863531125
SRR8960652,0.814287318,0.734863702,0.424736867,0.593478513,0.795104152
SRR8960653,0.731505949,0.67335574,0.331067711,0.596085421,0.732448309
SRR8960654,0.842732409,0.77257319,0.535568501,0.605242707,0.821458582
SRR8960655,0.906481808,0.844512841,0.438617879,0.633366684,0.887446228
SRR8960656,0.872969795,0.808137071,0.471818062,0.651351429,0.852717204
SRR8960657,0.841358571,0.777959943,0.411605256,0.656354125,0.831111676
SRR8960658,0.861375729,0.798149266,0.461525697,0.657540366,0.843008348
SRR8960659,0.831686549,0.771008242,0.430516642,0.627860812,0.814915344
SRR8960660,0.893413114,0.841955201,0.432127277,0.680314889,0.867227206
SRR8960661,0.874726326,0.807060604,0.433628956,0.657420053,0.855477169
SRR8960662,0.791301052,0.722987615,0.457093146,0.602463903,0.777403503
SRR8960663,0.887368094,0.8243215,0.456339177,0.656473316,0.86349458
SRR8960664,0.83859816,0.794129942,0.404623315,0.64673377,0.830427777
SRR8960665,0.814965829,0.746935597,0.416931106,0.607894498,0.799865024
SRR8960666,0.847237989,0.8026143,0.410810863,0.643798652,0.818004181
SRR8960667,0.770637997,0.69034759,0.440750182,0.580445134,0.75151597
SRR8960668,0.85519526,0.808693974,0.449711866,0.649174999,0.823711037
SRR8960669,0.881813186,0.850505403,0.414724953,0.696025698,0.859534807
SRR8960670,0.80736196,0.743759871,0.439102792,0.634591836,0.794878923
SRR8960671,0.700059299,0.583931597,0.367598501,0.509875832,0.692026423
SRR8960672,0.799545847,0.728713196,0.429242411,0.625443564,0.795460937
SRR8960673,0.871658004,0.830791263,0.443835942,0.6767958,0.842074956
SRR8960674,0.785153393,0.695322193,0.427288409,0.587466025,0.765003901
SRR8960675,0.816628117,0.759177748,0.481672433,0.643121774,0.796535962
SRR8960676,0.787026878,0.730916421,0.36698721,0.630463322,0.78014687
SRR8960677,0.805820475,0.753193367,0.409584686,0.629962149,0.797967047
SRR8960678,0.82045976,0.774781592,0.360793162,0.645614704,0.804041367
SRR8960679,0.818549735,0.747843317,0.432173475,0.625722737,0.802211821
SRR8960680,0.787763822,0.726846539,0.386830892,0.615240593,0.778593139
SRR8960681,0.786726321,0.715425101,0.450597439,0.59680816,0.763470097
SRR8960682,0.820120943,0.753681181,0.449835098,0.623126898,0.80518736
SRR8960683,0.842950784,0.793366912,0.447594778,0.629786822,0.813669123
SRR8960684,0.874202693,0.831334272,0.48277395,0.672935801,0.834793694
SRR8960685,0.762479632,0.674178308,0.425996292,0.564806805,0.747903317
SRR8960686,0.857166095,0.795446151,0.474883131,0.634382514,0.838160312
SRR8960687,0.819874127,0.763307609,0.459899712,0.62424108,0.793968359
SRR8960688,0.889056712,0.825574238,0.390792366,0.649412722,0.874707731
SRR8960689,0.858668097,0.819848695,0.359310034,0.676456715,0.81800725
SRR8960690,0.871882338,0.804364573,0.442454257,0.647158459,0.854060748
SRR8960691,0.849146548,0.826941412,0.38885616,0.694607223,0.807188473
SRR8960693,0.845572172,0.780161887,0.476130917,0.651762994,0.829123132
SRR8960694,0.77793454,0.737268035,0.279544933,0.623010374,0.78131213
SRR8960695,0.818951007,0.758695838,0.394101752,0.641191399,0.804028153
SRR8960696,0.831103671,0.784220628,0.500564111,0.64872566,0.793655742
SRR8960698,0.852943557,0.802200798,0.436611751,0.649812636,0.82415667
SRR8960699,0.752430922,0.697690729,0.309311781,0.605143333,0.749637539
SRR8960700,0.879113782,0.80993539,0.435709253,0.672035868,0.846897092
SRR8960701,0.855176104,0.801398912,0.477930361,0.658331136,0.816512232
SRR8960702,0.816434579,0.764943636,0.448664635,0.652389493,0.803658719
SRR8960703,0.798233289,0.726745593,0.432999171,0.602849872,0.772359935
SRR8960704,0.847110732,0.803107513,0.410478502,0.681185232,0.811772392
SRR8960705,0.790441061,0.713032695,0.428542305,0.615380612,0.788050423
SRR8960706,0.734878777,0.64647322,0.405281064,0.540995765,0.717208301
SRR8960707,0.739394801,0.640098201,0.396578386,0.535951779,0.728481782
SRR8960708,0.81827087,0.761337302,0.494578169,0.625402888,0.793417748
SRR8960709,0.78017545,0.703790792,0.410789368,0.589550358,0.772929907
SRR8960710,0.75757606,0.664476279,0.408063092,0.55933755,0.734395806
SRR8960711,0.770093595,0.680061787,0.377752694,0.579215218,0.761927005
SRR8960712,0.759816179,0.65816761,0.440590939,0.572959219,0.752117438
SRR8960713,0.741253769,0.648838186,0.387443007,0.54887026,0.726928446
SRR8960714,0.746570028,0.637794978,0.411609956,0.540285741,0.742138188
SRR8960715,0.770192515,0.688145538,0.418584381,0.587594123,0.763899574
SRR8960716,0.742668114,0.639526698,0.4288722,0.542884913,0.705405855
SRR8960717,0.832721447,0.765533898,0.492683026,0.622012868,0.809881643
SRR8960718,0.715399471,0.641327511,0.410271737,0.545837788,0.702603155
SRR8960719,0.838877095,0.784827511,0.429657012,0.659818547,0.812664851
SRR8960720,0.822443907,0.767793938,0.419158029,0.663835578,0.807220419
SRR8960721,0.834479769,0.780414057,0.418696543,0.660872245,0.815489693
SRR8960722,0.726059347,0.676826941,0.215011269,0.588495944,0.72894901
SRR8960723,0.741299487,0.661381577,0.403479876,0.5575519,0.730951495
SRR8960724,0.820923098,0.75939443,0.417755143,0.62440146,0.799494361
SRR8960725,0.820521233,0.762977115,0.47376405,0.630917499,0.797736886
SRR8960726,0.765054371,0.673067399,0.439679247,0.564791073,0.747742095
SRR8960727,0.725541578,0.638662874,0.390045337,0.563538154,0.712429484
SRR8960728,0.726932926,0.650520838,0.368182845,0.57184047,0.722538437
SRR8960729,0.821666497,0.753098928,0.476358569,0.620555673,0.803188364
SRR8960730,0.737639552,0.669863691,0.404301321,0.590102306,0.739222045
SRR8960731,0.85584382,0.798816605,0.463275043,0.652696903,0.817351756
SRR8960732,0.834296545,0.770739181,0.424294523,0.644078342,0.807344198
SRR8960733,0.842549217,0.785051368,0.434409045,0.64790458,0.806690917
SRR8960734,0.895473377,0.845565727,0.41476359,0.662637746,0.883674894
SRR8960735,0.861567869,0.808066601,0.43763901,0.671808597,0.8337865
SRR8960736,0.85456087,0.809203848,0.395898412,0.652848597,0.817176157
SRR8960737,0.755976384,0.697449036,0.447001583,0.571968899,0.727613381
SRR8960738,0.885471714,0.843472226,0.380814717,0.691400426,0.875140281
SRR8960739,0.858596016,0.796269565,0.440992915,0.634105243,0.83684249
SRR8960740,0.827988311,0.741868253,0.404214776,0.631267705,0.815469341
SRR8960741,0.895628868,0.847516193,0.431815373,0.686520815,0.866504434
SRR8960742,0.861158393,0.793526241,0.508634827,0.647357219,0.843417965
SRR8960744,0.87809516,0.814220857,0.424203575,0.657628791,0.850899941
SRR8960745,0.796971651,0.748250927,0.374109746,0.586699493,0.722270947
SRR8960746,0.837046312,0.780009777,0.520272716,0.638642745,0.80874175
SRR8960747,0.684818516,0.620208044,0.229123221,0.568986224,0.714833564
SRR8960748,0.767362608,0.707692383,0.421187315,0.600639034,0.758453475
SRR8960749,0.770265496,0.711821496,0.32537079,0.612186282,0.762239186
SRR8960750,0.794468776,0.724588357,0.406050886,0.603707638,0.781203659
SRR8960751,0.836867682,0.800984008,0.449605801,0.669562736,0.80661558
SRR8960752,0.869734031,0.821111272,0.433943447,0.686166098,0.836880227
SRR8960753,0.83799281,0.774813486,0.45235641,0.63655164,0.805461657
SRR8960754,0.843369207,0.799105147,0.478750239,0.648928826,0.805663037
SRR8960755,0.812412584,0.760279067,0.472877853,0.635484389,0.78635702
SRR8960756,0.803883852,0.740970999,0.421025671,0.62337823,0.789548428
SRR8960757,0.808291464,0.736054597,0.460960775,0.593370875,0.781508012
SRR8960758,0.78361633,0.726051658,0.397919736,0.59901657,0.766115274
SRR8960759,0.813934278,0.755164047,0.470798242,0.619992992,0.788709435
SRR8960760,0.816167847,0.758609878,0.340461059,0.638870478,0.8070255
SRR8960761,0.787126202,0.728041927,0.312464036,0.621782092,0.797142458
SRR8960762,0.827900482,0.771962962,0.449466616,0.626141667,0.800547426
SRR8960763,0.775888031,0.709055509,0.4439443,0.587131501,0.757089447
SRR8960764,0.77880042,0.708341989,0.436058598,0.603234073,0.771619478
SRR8960765,0.774548572,0.708010648,0.400687393,0.61225376,0.777600927
SRR8960766,0.851520858,0.792587616,0.452498761,0.64123316,0.831528225
SRR8960767,0.870049328,0.832064453,0.514279017,0.667725594,0.831066665
SRR8960769,0.865473931,0.8242086,0.44184372,0.659037457,0.832969225
