basename,mags_and_gtdb,gtdb,mags_and_gtdbreps,gtdb_reps,mag_only
SRR11183527,0.770506152,0.698461724,0.734391612,0.565632218,0.560230628
SRR11183529,0.788584508,0.693434412,0.741518578,0.563403858,0.59657128
SRR11183531,0.822950467,0.747426668,0.768370431,0.59064486,0.608962732
SRR11183532,0.80219219,0.726174827,0.765445594,0.58257326,0.534569566
SRR11183533,0.895158582,0.854169666,0.850499287,0.670328103,0.611725934
SRR11183536,0.822811366,0.747012968,0.789296046,0.608954968,0.562413315
SRR11183538,0.812777357,0.763738542,0.788935682,0.640129039,0.491316183
SRR11183542,0.77434449,0.690203187,0.73093162,0.570756283,0.574923357
SRR11183543,0.829998809,0.753060617,0.78772295,0.616764279,0.534749288
SRR11183548,0.815875086,0.751244245,0.76369462,0.582174903,0.552423577
SRR11183549,0.874248946,0.817594879,0.835221173,0.628304556,0.610914515
SRR11183550,0.828993848,0.749895316,0.793543144,0.596818978,0.576308525
SRR11183551,0.816848606,0.737790287,0.774826216,0.571096077,0.570877378
SRR11183552,0.897212849,0.852206495,0.860882435,0.679384365,0.627586696
SRR11183553,0.851358012,0.800588956,0.823313896,0.626400044,0.547413205
SRR11183554,0.91830485,0.868772432,0.877979378,0.694619527,0.630599797
SRR11183560,0.787847852,0.728936717,0.738346684,0.572677238,0.53639021
SRR11183564,0.84250035,0.782188668,0.797301019,0.610241177,0.56438049
SRR11183565,0.819362886,0.731692896,0.798572325,0.590342284,0.478417781
SRR11183567,0.900560393,0.848754149,0.873100039,0.639051,0.624699018
SRR11183569,0.846153846,0.771623158,0.805321714,0.609061297,0.576232405
SRR11183572,0.745098971,0.664307681,0.710604723,0.547991613,0.554208903
SRR11183573,0.728972301,0.658420747,0.689093374,0.529416995,0.537826685
SRR11183578,0.81124359,0.760446053,0.725679603,0.582626965,0.597567042
SRR11183580,0.780120143,0.69999079,0.754636007,0.584179012,0.548300054
SRR11183583,0.702266718,0.618826766,0.665263137,0.504779852,0.488955886
SRR11183584,0.774519088,0.686345066,0.754922692,0.581667558,0.512935515
SRR11183585,0.800953489,0.716202605,0.752672617,0.566287063,0.559459043
SRR11183588,0.886040967,0.844044652,0.840591088,0.672864411,0.616742099
SRR11183589,0.79240681,0.705990792,0.74704221,0.562496771,0.563164693
SRR11183590,0.802497186,0.725837085,0.782268487,0.599975687,0.520233519
SRR11183592,0.793143227,0.739956479,0.730104168,0.563789545,0.589846042
SRR11183621,0.896718328,0.835222156,0.86119387,0.664196288,0.512046083
SRR11183623,0.877441792,0.826302477,0.828058909,0.660327066,0.5951255
SRR11183625,0.753118259,0.663821939,0.700037326,0.522172933,0.519064525
SRR11183626,0.832293163,0.757261609,0.794516967,0.598493636,0.567052761
SRR11183629,0.752932354,0.681173953,0.723532673,0.5637488,0.512159295
SRR11183630,0.76668999,0.678929157,0.742712182,0.560397405,0.521893545
SRR11183631,0.788811331,0.726044725,0.748215196,0.58036716,0.569745944
SRR11183633,0.765848492,0.678531653,0.728225815,0.554251994,0.565862668
SRR11183635,0.78833689,0.666779681,0.725293164,0.573473509,0.541140726
SRR11183639,0.806003059,0.732489515,0.779503237,0.602267424,0.544453152
SRR11183640,0.798337415,0.705176374,0.758785422,0.579178657,0.54841414
SRR11183641,0.833894761,0.76633333,0.804237058,0.595580828,0.570208781
SRR11183647,0.762382005,0.67741815,0.72141259,0.545369231,0.508435013
SRR11183648,0.820458469,0.737395691,0.793789154,0.593745163,0.552583645
SRR11183667,0.867572503,0.795263158,0.823491265,0.633511506,0.58436717
SRR11183674,0.777375557,0.733410707,0.708056864,0.588332496,0.431111302
SRR11183675,0.819670352,0.777794865,0.749921964,0.599460687,0.51166888
SRR11183677,0.786973649,0.747291682,0.731321584,0.593713931,0.47220047
SRR11183679,0.748311105,0.705649691,0.716454762,0.591924302,0.380508904
SRR11183680,0.817697273,0.778158575,0.774925097,0.614700781,0.444688055
SRR11183681,0.795865396,0.750089424,0.755598166,0.600908712,0.506652698
SRR11183682,0.698207458,0.645144799,0.649769142,0.537995383,0.428729733
SRR11183684,0.807218362,0.696239208,0.765055151,0.569770186,0.562322532
SRR11183686,0.907560255,0.85874261,0.858753995,0.6712079,0.623131085
SRR11183687,0.783894817,0.700230767,0.753445259,0.570395384,0.529786079
SRR11183689,0.836558742,0.763465927,0.785084877,0.599970438,0.627234311
SRR11183690,0.75165739,0.682797414,0.71666239,0.565819861,0.535169519
SRR11183691,0.737149997,0.649478445,0.699120913,0.547561227,0.503110483
SRR11183692,0.743182976,0.664902852,0.708797222,0.554996792,0.495562907
SRR11183693,0.837299429,0.777196084,0.789503169,0.621738544,0.62328233
SRR11183695,0.758799075,0.676816057,0.724184393,0.547665463,0.508144606
SRR11183696,0.835310316,0.771536343,0.795819272,0.619851457,0.557838927
SRR11183697,0.83672409,0.749772687,0.813046341,0.623561065,0.513566452
SRR11183698,0.816035085,0.757353317,0.772289091,0.607805978,0.587997868
SRR11183699,0.777726164,0.644988968,0.75066094,0.522436826,0.516700484
SRR11183705,0.787679483,0.721186063,0.748198459,0.578708939,0.543256098
SRR11183706,0.750982272,0.674797699,0.685335676,0.528798385,0.539767259
SRR11183709,0.875982005,0.821843436,0.822808964,0.651652984,0.640259999
SRR11183710,0.765107143,0.694902058,0.729190622,0.578536188,0.525883462
SRR11183712,0.779141228,0.690196236,0.743378878,0.566192901,0.527788609
SRR11183714,0.741467991,0.651556291,0.706345873,0.530639387,0.515697412
SRR11183716,0.707932898,0.653094596,0.663204646,0.563565721,0.403435416
SRR11183717,0.734815952,0.657688221,0.687707452,0.552263515,0.473601486
SRR11183718,0.759737464,0.710442099,0.686442457,0.544747449,0.511309344
SRR11183720,0.754323799,0.698319091,0.718852113,0.589437218,0.44616001
SRR11183722,0.766831986,0.711767104,0.724668785,0.579378018,0.473573566
SRR11183723,0.70795282,0.653967534,0.666621443,0.562887791,0.380173558
SRR11183726,0.72395817,0.679835443,0.671223825,0.563678764,0.431961734
SRR11183728,0.732064188,0.678878397,0.687597193,0.579172154,0.425504603
SRR11183729,0.805565135,0.751898926,0.764472156,0.601572529,0.516764688
SRR11183730,0.807567128,0.750559398,0.773137516,0.585145493,0.474502762
SRR11183732,0.88297303,0.845776173,0.853752293,0.66954397,0.542695558
SRR11183733,0.827313788,0.778461714,0.796856511,0.613210987,0.51360507
SRR11183735,0.743637578,0.679182417,0.712391846,0.547763602,0.498841285
SRR11183737,0.821735199,0.773477313,0.759653894,0.622111248,0.54495582
SRR11183739,0.760587012,0.717952496,0.721998327,0.597125694,0.448427094
SRR11183741,0.859715384,0.831161058,0.803784992,0.581056339,0.495390023
SRR11183743,0.836588583,0.787541754,0.782101187,0.610947818,0.479394105
SRR11183744,0.733260684,0.677543524,0.680729586,0.566121759,0.456010976
SRR11183746,0.730679007,0.658871638,0.68270866,0.552410387,0.496880347
SRR11183749,0.831660915,0.77593383,0.787493152,0.622336466,0.583506613
SRR11183752,0.889020044,0.82224691,0.860702627,0.633477134,0.619345471
SRR11183753,0.768461145,0.677398164,0.746341377,0.574536693,0.512107391
SRR11183754,0.82291397,0.77127017,0.791572747,0.633671552,0.55343624
SRR11183756,0.794577282,0.687860225,0.770150997,0.56547062,0.564217486
SRR11183758,0.77993311,0.71389405,0.75160318,0.592947487,0.505459616
SRR11183759,0.757966518,0.602682838,0.715622483,0.484623373,0.513622548
SRR11183761,0.720058985,0.648549281,0.698127375,0.53741632,0.479346836
SRR11183765,0.802799216,0.725264404,0.770641171,0.595847887,0.587522313
SRR11183767,0.748851023,0.647871141,0.707463437,0.514107654,0.533151539
SRR11183768,0.772181091,0.678832462,0.720893994,0.542335019,0.564589364
SRR11183769,0.788531494,0.711861768,0.763221659,0.574002308,0.509559999
SRR11183770,0.762609911,0.660003107,0.745625057,0.561424658,0.518628072
SRR11183771,0.78588445,0.693605642,0.755737669,0.565989606,0.522573227
SRR11183772,0.756089198,0.645510254,0.722459192,0.514761656,0.54729064
SRR11183775,0.756423141,0.692809304,0.730822054,0.579090446,0.534493455
SRR11183781,0.742978224,0.683668619,0.681818609,0.566160663,0.47954682
SRR11183782,0.803471939,0.748388138,0.751307669,0.607236133,0.511906273
SRR11183784,0.79223954,0.751421339,0.775520707,0.628483074,0.416239208
SRR11183785,0.847365558,0.787388598,0.793136952,0.637113751,0.544879208
SRR11183786,0.876125863,0.818259446,0.824641821,0.644906206,0.589718677
SRR11183788,0.902372089,0.84941445,0.856473795,0.653830587,0.607209835
SRR11183789,0.787463561,0.732048567,0.755336743,0.598898303,0.504740049
SRR11183790,0.831773986,0.778896479,0.778275543,0.630850978,0.606690477
SRR11183791,0.887807538,0.840310842,0.823796664,0.642123839,0.619406513
SRR11183794,0.870232462,0.803307961,0.814122658,0.622365875,0.588434433
SRR11183795,0.842185372,0.794085671,0.768670593,0.639002296,0.562588809
SRR11183796,0.827558661,0.772518588,0.771226165,0.626280907,0.559911317
SRR11183800,0.825765503,0.751120368,0.769291431,0.597728447,0.599705932
SRR11183801,0.853388682,0.799306181,0.804706744,0.635075302,0.593376997
SRR11183802,0.851412534,0.791957391,0.801910671,0.649866933,0.560959693
