user_genome	Domain	phylum	class	order	family	genus	species
AtH2023_SRR8960403_MAG04	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp004557565
AtH2023_SRR8960403_MAG05	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp004552115
AtH2023_SRR8960403_MAG06	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp000434935
AtH2023_SRR8960403_MAG07	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	Faecousia sp900540635
AtH2023_SRR8960403_MAG08	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp004552155
AtH2023_SRR8960403_MAG09	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	Ruminococcus_E bromii_B
AtH2023_SRR8960403_MAG10	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251295
AtH2023_SRR8960403_MAG11	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Paratractidigestivibacter	Paratractidigestivibacter faecalis
AtH2023_SRR8960403_MAG12	Bacteria	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae		
AtH2023_SRR8960403_MAG13	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger sp900554145
AtH2023_SRR8960403_MAG14	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus reuteri
AtH2023_SRR8960403_MAG15	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter sp900317585
AtH2023_SRR8960404_MAG01	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
AtH2023_SRR8960404_MAG02	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000436915
AtH2023_SRR8960404_MAG03	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA11957	UBA11957 sp945827805
AtH2023_SRR8960404_MAG04	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella pectinovora
AtH2023_SRR8960404_MAG05	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	
AtH2023_SRR8960404_MAG06	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp004552155
AtH2023_SRR8960404_MAG07	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus reuteri
AtH2023_SRR8960404_MAG08	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251295
AtH2023_SRR8960404_MAG09	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA629	UBA629 sp900316625
AtH2023_SRR8960404_MAG10	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter sp945873855
AtH2023_SRR8960410_MAG01	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium xerosis
AtH2023_SRR8960410_MAG02	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	UBA2834	UBA2834 sp004561445
AtH2023_SRR8960410_MAG03	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	Dorea_A sp016295505
AtH2023_SRR8960410_MAG04	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp004554455
AtH2023_SRR8960410_MAG05	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Floccifex	Floccifex porci
AtH2023_SRR8960410_MAG06	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis
